titulaire_normalise,nombre_marches,montant_total,part_cumulee_pct
MEDTRONIC FRANCE,1704,2228303649.92,2.43
BOSTON SCIENTIFIC,1200,967002882.96,4.13
MEDLINE INTERNATIONAL FRANCE,1148,845575928.2,5.77
ABBOTT MEDICAL FRANCE,993,1883966937.39,7.18
JOHNSON JOHNSON MEDICAL,939,814609670.8,8.52
STRYKER FRANCE,914,1315131730.0,9.82
B BRAUN MEDICAL,798,695437613.9,10.95
BECTON DICKINSON FRANCE,751,1031949661.51,12.02
COOK FRANCE,688,352094831.4,13.0
ARROW GENERIQUES (LABORATOIRE ARROW),666,256293277.04,13.95
TELEFLEX MEDICAL,655,384325015.45,14.88
VYGON,646,408268581.47,15.8
LABORATOIRES COLOPLAST,616,469510284.3,16.68
BIOMERIEUX (BIOMERIEUX),614,361976889.31,17.55
LABORATOIRES PAUL HARTMANN,593,351303251.41,18.4
DUOMED FRANCE (ADHESIA SEBAC),565,350978434.51,19.2
VIATRIS SANTE,561,424176689.84,20.0
LABORATOIRE GLAXOSMITHKLINE,494,193805958.67,20.7
TERUMO FRANCE,492,393362955.13,21.4
ASEPT INMED,430,192688770.57,22.02
MERIT MEDICAL FRANCE,420,197247053.8,22.61
CENTRE SPECIALITES PHARMACEUTIQUES (MOVIANTO),419,358411813.45,23.21
PFIZER,383,345898337.68,23.76
LABORATOIRES LOHMANN RAUSCHER,373,107086159.6,24.29
LABORATOIRES RIVADIS (LABORATOIRE RIVADIS),364,146259193.0,24.8
INTERSURGICAL,362,234647749.42,25.32
ZIMMER BIOMET FRANCE,359,275940488.55,25.83
CIS BIO INTERNATIONAL,349,71896007.42,26.33
ROCHE DIAGNOSTICS FRANCE,348,1128245127.68,26.82
BIO-RAD FRANCE,348,152647408.64,27.32
V W R INTERNATIONAL,344,82333602.74,27.81
GE MEDICAL SYSTEMS,343,1677215972.38,28.3
THERMO FISHER DIAGNOSTICS,323,92147390.45,28.76
BAXTER S A S,323,541648036.76,29.22
BASTIDE LE CONFORT MEDICAL,317,176569594.18,29.67
CARDINAL HEALTH FRANCE 506,317,193549334.08,30.12
SMITH ET NEPHEW,312,314322577.21,30.56
EURO DIFFUSION MEDICALE,303,112272470.77,30.99
LABELIANS,300,35102825.26,31.42
MSD FRANCE,297,498304177.4,31.84
LABORATOIRE AGUETTANT,290,231330728.25,32.26
HENRY SCHEIN FRANCE SCA (DENTAL IMPORT),290,523332355.73,32.67
BIOTRONIK FRANCE,277,231408598.74,33.06
COOPERATION PHARMACEUTIQUE FRANCAISE,274,130373577.85,33.45
DIDACTIC,273,233969687.82,33.84
SIEMENS HEALTHCARE,271,2082731325.95,34.23
MOLNLYCKE HEALTH CARE,266,101173107.1,34.61
EUROBIO SCIENTIFIC,266,60334644.38,34.98
OLYMPUS FRANCE,261,325620838.8,35.36
ICU MEDICAL ENTREPRISE FRANCE,258,288090342.05,35.72
RAFFIN MEDICAL,255,58032330.06,36.09
GETINGE FRANCE,255,182189033.94,36.45
ADVANCED MEDICAL SOLUTIONS (FRANCE),252,127442539.86,36.81
CAIR LGL,246,169928761.09,37.16
AMBU,243,258883124.36,37.5
INTEGRA LIFESCIENCES SERVICES (FRANCE),225,120852059.02,37.82
EG LABO - LABORATOIRES EUROGENERIC,220,56370551.62,38.14
LABORATOIRES EUROMEDIS,214,75879812.04,38.44
EDWARDS LIFESCIENCES,210,426396123.79,38.74
DOMINIQUE DUTSCHER S A,204,135287998.49,39.03
BARD FRANCE,203,23715837.47,39.32
INRESA,202,97448211.34,39.61
BAYER HEALTHCARE,202,701386500.76,39.9
SYLAMED,201,77947339.73,40.18
COLLIN,199,78789210.4,40.47
FRESENIUS KABI FRANCE,198,139764885.58,40.75
LABORATOIRES ALCON,196,618576587.07,41.03
COMEPA -INDUSTRIES,189,84080867.56,41.3
LABORATOIRES ANIOS,187,220349853.81,41.56
GE HEALTHCARE,186,187170025.91,41.83
TEVA SANTE,184,48762292.73,42.09
TAKEDA FRANCE,180,1703713690.38,42.34
CREO MEDICAL,180,97537699.94,42.6
SCHILLER FRANCE,179,255108791.12,42.86
SANOFI WINTHROP INDUSTRIE,179,477454900.6,43.11
STERIS,176,484034958.96,43.36
BVI FRANCE (PHYSIOL FRANCE),173,94383856.37,43.61
BSN-RADIANTE,173,77820377.07,43.85
ARTHREX FRANCE,172,108022102.86,44.1
SANOFI PASTEUR EUROPE,172,37725968.97,44.34
PHILIPS FRANCE,172,1152120208.95,44.59
FCI S A S,169,27036265.83,44.83
LFB BIOMEDICAMENTS,169,1735369604.42,45.07
AGILENT TECHNOLOGIES FRANCE,167,152317639.28,45.31
FRESENIUS MEDICAL CARE FRANCE,166,396701733.42,45.54
DUOMED FRANCE ENDOSCOPIE,163,87675608.04,45.77
APPLIED MEDICAL FRANCE,161,158632843.68,46.0
AUBIN,159,94885995.33,46.23
ZENTIVA FRANCE,157,112238908.3,46.45
W L GORE ET ASSOCIES,157,101948594.86,46.68
FRESENIUS VIAL,155,212435168.22,46.9
PAREDES DISTRIBUTION FRANCE,154,137520707.08,47.12
PLG,152,52907700.46,47.33
PANPHARMA,152,137758317.28,47.55
MICROPORT CRM FRANCE,151,140614525.86,47.76
HEMOTECH,148,155672412.41,47.98
LIFE TECHNOLOGIES,148,107685562.8,48.19
MEDISPORT,146,33056986.24,48.39
NOVARTIS PHARMA,146,164630107.62,48.6
SYSMEX FRANCE,146,132163898.24,48.81
ABENA-FRANTEX,143,192722393.78,49.01
INTSEL CHIMOS,142,67796295.48,49.21
M-M FRANCE (MICROM - MICROTECH FRANCE),136,16491386.53,49.41
INT AIR MEDICAL,135,49809469.26,49.6
LES CELLULOSES DE BROCELIANDE,135,36451423.52,49.79
MEDICAL MEASUREMENT SYSTEMS BV (LABORIE MEDICAL TECHNOLOGIES FRANCE),134,154691370.9,49.98
SERB (LABORATOIRES SERB),133,131466598.9,50.17
HEMODIA,132,59296067.13,50.36
DRAGER FRANCE,132,194652614.45,50.55
BAUSCH ET LOMB FRANCE,130,29392576.18,50.73
LANDANGER,130,125686953.99,50.92
CG MEDICAL (C G MEDICAL),128,25452402.62,51.1
RADIOMETER,127,158547155.01,51.28
INNOVATIVE DIAGNOSTICS,124,13072089.6,51.46
LABORATOIRES CONVATEC,123,86255459.67,51.63
CURIUM PET FRANCE,123,154997418.84,51.81
KOMET FRANCE,122,9891680.52,51.98
GUERBET FRANCE,120,158235501.03,52.15
SANOFI-AVENTIS FRANCE,120,459179446.35,52.32
COUSIN BIOSERV,117,137662898.09,52.49
BALT EXTRUSION,117,54869627.65,52.66
NUTRICIA NUTRITION CLINIQUE (DANONE SANTE NUTRITION),116,205865927.83,52.82
3M FRANCE (SCOTCH FR POST-IT FR- JEUPOSTIT ),116,158315314.88,52.99
STERILMED FRANCE,116,26166211.52,53.15
OCP REPARTITION,115,35907260.12,53.32
MAST DIAGNOSTIC,115,9534160.52,53.48
ACCORD HEALTHCARE FRANCE,114,84038629.89,53.64
LEICA MICROSYSTEMES,114,14956889.74,53.8
LIVANOVA,114,124267074.4,53.97
LABORATOIRES GILBERT,112,55067777.98,54.13
GAMIDA,112,50254066.14,54.29
EBONY,112,11744863.98,54.44
CSL BEHRING S A,111,1527426318.76,54.6
DUMONT SECURITE,111,119474398.19,54.76
LABO MODERNE,111,6298721.96,54.92
UNION DES GROUPEMENTS D ACHATS PUBLICS (UGAP),108,120152304.62,55.07
CARL ZEISS MEDITEC FRANCE,108,152499849.55,55.23
BIOSYNEX,107,19359036.37,55.38
BRACCO IMAGING FRANCE,106,159977827.6,55.53
LABORATOIRES URGO (URGO MEDICAL - MDFA (MEDICAL DEVICE FOR ALL)),106,49070610.95,55.68
LINET FRANCE (WISSNER BOSSERHOFF FRANCE),105,354476153.99,55.83
MEDAC,105,48213346.88,55.98
JANSSEN CILAG (JANSSEN),104,190259888.53,56.13
MEDICONTUR FRANCE,104,35018057.24,56.28
MICROVENTION EUROPE,104,149937028.17,56.42
LABORATOIRES GYNEAS,102,33090880.2,56.57
ALLOGA FRANCE,102,64134677.15,56.71
KARL STORZ ENDOSCOPIE FRANCE,101,42259000.08,56.86
LABORATOIRE BENEWMEDICAL (BENEWMEDICAL),101,19179924.91,57.0
AB MEDICA,101,126630523.23,57.14
OCTAPHARMA FRANCE,100,631839494.86,57.29
CORMEDICA,99,32171878.73,57.43
ASSUT EUROPE FRANCE,99,28460575.22,57.57
STRIM HEALTH CARE INTERNATIONAL,98,17934486.19,57.71
BIOGARAN (LABORATOIRE BIOGARAN - LABORATOIRE TOP-PHARM - TOP-PHARM),97,48822986.59,57.85
DORAN INTERNATIONAL,97,185786226.51,57.98
ASTRAZENECA,95,271901052.88,58.12
EDIMEX,95,533164069.81,58.26
WERFEN,94,221092975.05,58.39
GRIFOLS FRANCE,94,958726083.2,58.52
CONTROLE GRAPHIQUE,93,30073011.46,58.66
SARSTEDT FRANCE,92,33635631.21,58.79
CONMED FRANCE,90,79384619.53,58.91
ABBOTT RAPID DIAGNOSTICS S A S,90,159562801.83,59.04
GILEAD SCIENCES,90,396883034.13,59.17
CORDIS FRANCE,90,73506816.59,59.3
LCH MEDICAL PRODUCTS,90,41515697.87,59.43
ORTHOFIX FRANCE S A S,90,139117174.79,59.55
CODAN FRANCE,89,22721820.04,59.68
ZYTOMICS,89,4164833.53,59.81
3M FRANCE,89,116398102.41,59.93
ORTHO-CLINICAL DIAGNOSTICS FRANCE,88,74397665.95,60.06
POURET MEDICAL,87,47472951.94,60.18
FUJIFILM HEALTHCARE FRANCE,86,1057886050.62,60.31
LABORATOIRE RENAUDIN,86,41880057.33,60.43
COLDIS,86,23596590.22,60.55
IDEXX,86,9588554.24,60.67
SANDOZ,86,71516101.03,60.8
NEWCLIP TECHNICS,86,84188214.12,60.92
ABBVIE,85,232233522.57,61.04
CENTRE LAB (CENTRE LAB PHARMA),85,11737291.77,61.16
HERAEUS,85,35000351.96,61.28
FISHER SCIENTIFIC S A S,85,76652000.12,61.4
QIAGEN FRANCE,85,66096677.91,61.52
FH ORTHO,85,320395638.3,61.64
IMMED EUROPE,85,36336840.75,61.77
NIPRO MEDICAL FRANCE,85,138060122.02,61.89
INTELLIG ARTIFICIELLE APLLICATIONS I2A,85,40780256.65,62.01
LEPINE (LEPINE PLUS),85,134530121.13,62.13
HILL-ROM,84,228418792.89,62.25
THERMO ELECTRON,84,22094524.27,62.37
BERNAS MEDICAL,83,15486239.07,62.49
MEDIPHA SANTE,83,34337715.22,62.6
CLINISCIENCES,83,5183888.89,62.72
GROUPE LEPINE,83,4596896.21,62.84
SOCIETE LA BIOCHIMIE APPLIQUEE,83,7615619.01,62.96
ORIGIO FRANCE,82,21161521.87,63.07
BOEHRINGER INGELHEIM FRANCE,82,125772039.44,63.19
FISHER PAYKEL HEALTHCARE (FPHCARE),82,73512265.38,63.31
BECKMAN COULTER FRANCE,80,184480193.87,63.42
