titulaire_normalise,nombre_marches,montant_total,categorie,confiance
MEDTRONIC FRANCE,1704,2228303649.92,FABRICANT_DM,haute
BOSTON SCIENTIFIC,1200,967002882.96,FABRICANT_DM,haute
MEDLINE INTERNATIONAL FRANCE,1148,845575928.2,DISTRIBUTEUR,moyenne
ABBOTT MEDICAL FRANCE,993,1883966937.39,FABRICANT_DM,haute
JOHNSON JOHNSON MEDICAL,939,814609670.8,FABRICANT_DM,haute
STRYKER FRANCE,914,1315131730.0,FABRICANT_DM,haute
B BRAUN MEDICAL,798,695437613.9,FABRICANT_DM,haute
BECTON DICKINSON FRANCE,751,1031949661.51,FABRICANT_DM,haute
COOK FRANCE,688,352094831.4,FABRICANT_DM,haute
ARROW GENERIQUES (LABORATOIRE ARROW),666,256293277.04,LABO_PHARMA,haute
TELEFLEX MEDICAL,655,384325015.45,FABRICANT_DM,haute
VYGON,646,408268581.47,FABRICANT_DM,haute
LABORATOIRES COLOPLAST,616,469510284.3,FABRICANT_DM,haute
BIOMERIEUX (BIOMERIEUX),614,361976889.31,FABRICANT_DIV,haute
LABORATOIRES PAUL HARTMANN,593,351303251.41,FABRICANT_DM,haute
DUOMED FRANCE (ADHESIA SEBAC),565,350978434.51,DISTRIBUTEUR,haute
VIATRIS SANTE,561,424176689.84,LABO_PHARMA,haute
LABORATOIRE GLAXOSMITHKLINE,494,193805958.67,LABO_PHARMA,haute
TERUMO FRANCE,492,393362955.13,FABRICANT_DM,haute
ASEPT INMED,430,192688770.57,FABRICANT_DM,moyenne
MERIT MEDICAL FRANCE,420,197247053.8,FABRICANT_DM,haute
CENTRE SPECIALITES PHARMACEUTIQUES (MOVIANTO),419,358411813.45,DISTRIBUTEUR,haute
PFIZER,383,345898337.68,LABO_PHARMA,haute
LABORATOIRES LOHMANN RAUSCHER,373,107086159.6,FABRICANT_DM,haute
LABORATOIRES RIVADIS (LABORATOIRE RIVADIS),364,146259193.0,DISTRIBUTEUR,moyenne
INTERSURGICAL,362,234647749.42,FABRICANT_DM,haute
ZIMMER BIOMET FRANCE,359,275940488.55,FABRICANT_DM,haute
CIS BIO INTERNATIONAL,349,71896007.42,LABO_PHARMA,moyenne
ROCHE DIAGNOSTICS FRANCE,348,1128245127.68,FABRICANT_DIV,haute
BIO-RAD FRANCE,348,152647408.64,FABRICANT_DIV,haute
V W R INTERNATIONAL,344,82333602.74,DISTRIBUTEUR,haute
GE MEDICAL SYSTEMS,343,1677215972.38,FABRICANT_DM,haute
THERMO FISHER DIAGNOSTICS,323,92147390.45,FABRICANT_DIV,haute
BAXTER S A S,323,541648036.76,FABRICANT_DM,moyenne
BASTIDE LE CONFORT MEDICAL,317,176569594.18,DISTRIBUTEUR,moyenne
CARDINAL HEALTH FRANCE 506,317,193549334.08,DISTRIBUTEUR,haute
SMITH ET NEPHEW,312,314322577.21,FABRICANT_DM,haute
EURO DIFFUSION MEDICALE,303,112272470.77,DISTRIBUTEUR,moyenne
LABELIANS,300,35102825.26,DISTRIBUTEUR,haute
MSD FRANCE,297,498304177.4,LABO_PHARMA,haute
LABORATOIRE AGUETTANT,290,231330728.25,LABO_PHARMA,haute
HENRY SCHEIN FRANCE SCA (DENTAL IMPORT),290,523332355.73,DISTRIBUTEUR,haute
